Date,Year,Passengers,,,,,
3/2,2020,"2,163,067",,,,,
3/3,2020,"1,806,256",,,,,
3/4,2020,"1,953,782",,,,,
3/5,2020,"2,203,821",,,,,
3/6,2020,"2,274,787",,,,,
3/7,2020,"1,913,768",,,,,
3/8,2020,"2,189,961",,,,,
3/9,2020,"1,982,627",,,,,
3/10,2020,"1,686,927",,,,,
3/11,2020,"1,774,150",,,,,
3/12,2020,"1,860,802",,,,,
3/13,2020,"1,785,451",,,,,
3/14,2020,"1,549,429",,,,,
3/15,2020,"1,585,264",,,,,
3/16,2020,"1,325,097",,,,,
3/17,2020,"1,029,164",,,,,
3/18,2020,"847,827",,,,,
3/19,2020,"694,364",,,,,
3/20,2020,"669,314",,,,,
3/21,2020,"608,846",,,,,
3/22,2020,"510,881",,,,,
3/23,2020,"388,154",,,,,
3/24,2020,"330,808",,,,,
3/25,2020,"288,459",,,,,
3/26,2020,"252,039",,,,,
3/27,2020,"244,702",,,,,
3/28,2020,"226,850",,,,,
3/29,2020,"223,165",,,,,
3/30,2020,"197,539",,,,,
3/31,2020,"190,163",,,,,
4/1,2020,"176,239",,,,,
4/2,2020,"160,826",,,,,
4/3,2020,"166,046",,,,,
4/4,2020,"151,716",,,,,
4/5,2020,"156,759",,,,,
4/6,2020,"142,138",,,,,
4/7,2020,"126,847",,,,,
4/8,2020,"123,522",,,,,
4/9,2020,"132,378",,,,,
4/10,2020,"137,131",,,,,
4/11,2020,"119,155",,,,,
4/12,2020,"116,399",,,,,
4/13,2020,"129,582",,,,,
4/14,2020,"113,147",,,,,
4/15,2020,"115,294",,,,,
4/16,2020,"119,067",,,,,
4/17,2020,"130,512",,,,,
4/18,2020,"119,121",,,,,
4/19,2020,"128,831",,,,,
4/20,2020,"123,081",,,,,
4/21,2020,"114,969",,,,,
4/22,2020,"121,886",,,,,
4/23,2020,"135,267",,,,,
4/24,2020,"147,394",,,,,
4/25,2020,"130,319",,,,,
4/26,2020,"151,489",,,,,
4/27,2020,"143,129",,,,,
4/28,2020,"133,570",,,,,
4/29,2020,"142,801",,,,,
4/30,2020,"179,226",,,,,
5/1,2020,"197,509",,,,,
5/2,2020,"154,946",,,,,
5/3,2020,"192,411",,,,,
5/4,2020,"185,877",,,,,
5/5,2020,"149,037",,,,,
5/6,2020,"159,615",,,,,
5/7,2020,"211,459",,,,,
5/8,2020,"236,617",,,,,
5/9,2020,"187,868",,,,,
5/10,2020,"220,928",,,,,
5/11,2020,"236,767",,,,,
5/12,2020,"181,660",,,,,
5/13,2020,"199,090",,,,,
5/14,2020,"256,056",,,,,
5/15,2020,"272,250",,,,,
5/16,2020,"213,026",,,,,
5/17,2020,"276,409",,,,,
5/18,2020,"267,220",,,,,
5/19,2020,"209,801",,,,,
5/20,2020,"251,460",,,,,
5/21,2020,"342,995",,,,,
5/22,2020,"373,069",,,,,
5/23,2020,"273,131",,,,,
5/24,2020,"289,435",,,,,
5/25,2020,"364,592",,,,,
5/26,2020,"286,142",,,,,
5/27,2020,"283,387",,,,,
5/28,2020,"345,958",,,,,
5/29,2020,"352,970",,,,,
5/30,2020,"292,702",,,,,
5/31,2020,"377,409",,,,,
6/1,2020,"379,146",,,,,
6/2,2020,"289,197",,,,,
6/3,2020,"326,891",,,,,
6/4,2020,"418,820",,,,,
6/5,2020,"446,140",,,,,
6/6,2020,"376,823",,,,,
6/7,2020,"468,465",,,,,
6/8,2020,"458,552",,,,,
6/9,2020,"363,854",,,,,
6/10,2020,"413,090",,,,,
6/11,2020,"531,092",,,,,
6/12,2020,"548,394",,,,,
6/13,2020,"463,244",,,,,
6/14,2020,"573,722",,,,,
6/15,2020,"565,170",,,,,
6/16,2020,"444,922",,,,,
6/17,2020,"469,224",,,,,
6/18,2020,"607,355",,,,,
6/19,2020,"618,968",,,,,
6/20,2020,"536,012",,,,,
6/21,2020,"621,523",,,,,
6/22,2020,"639,816",,,,,
6/23,2020,"499,884",,,,,
6/24,2020,"525,061",,,,,
6/25,2020,"655,228",,,,,
6/26,2020,"664,665",,,,,
6/27,2020,"575,227",,,,,
6/28,2020,"662,853",,,,,
6/29,2020,"657,778",,,,,
6/30,2020,"530,448",,,,,
7/1,2020,"659,820",,,,,
7/2,2020,"800,456",,,,,
7/3,2020,"752,884",,,,,
7/4,2020,"495,309",,,,,
7/5,2020,"767,395",,,,,
7/6,2020,"793,785",,,,,
7/7,2020,"678,147",,,,,
7/8,2020,"669,730",,,,,
7/9,2020,"751,153",,,,,
7/10,2020,"752,434",,,,,
7/11,2020,"696,262",,,,,
7/12,2020,"796,350",,,,,
7/13,2020,"738,985",,,,,
7/14,2020,"579,774",,,,,
7/15,2020,"626,707",,,,,
7/16,2020,"747,054",,,,,
7/17,2020,"761,376",,,,,
7/18,2020,"685,084",,,,,
7/19,2020,"788,109",,,,,
7/20,2020,"737,239",,,,,
7/21,2020,"567,459",,,,,
7/22,2020,"609,254",,,,,
7/23,2020,"746,766",,,,,
7/24,2020,"767,540",,,,,
7/25,2020,"687,244",,,,,
7/26,2020,"790,716",,,,,
7/27,2020,"740,892",,,,,
7/28,2020,"573,466",,,,,
7/29,2020,"612,033",,,,,
7/30,2020,"758,065",,,,,
7/31,2020,"810,309",,,,,
8/1,2020,"749,886",,,,,
8/2,2020,"841,585",,,,,
8/3,2020,"781,705",,,,,
8/4,2020,"583,261",,,,,
8/5,2020,"638,378",,,,,
8/6,2020,"787,584",,,,,
8/7,2020,"806,204",,,,,
8/8,2020,"723,834",,,,,
8/9,2020,"875,129",,,,,
8/10,2020,"806,300",,,,,
8/11,2020,"598,854",,,,,
8/12,2020,"630,650",,,,,
8/13,2020,"805,456",,,,,
8/14,2020,"827,588",,,,,
8/15,2020,"730,296",,,,,
8/16,2020,"905,182",,,,,
8/17,2020,"818,133",,,,,
8/18,2020,"604,934",,,,,
8/19,2020,"627,140",,,,,
8/20,2020,"815,710",,,,,
8/21,2020,"808,086",,,,,
8/22,2020,"665,145",,,,,
8/23,2020,"884,572",,,,,
8/24,2020,"771,014",,,,,
8/25,2020,"562,515",,,,,
8/26,2020,"578,447",,,,,
8/27,2020,"766,347",,,,,
8/28,2020,"783,647",,,,,
8/29,2020,"631,636",,,,,
8/30,2020,"850,262",,,,,
8/31,2020,"756,726",,,,,
9/1,2020,"554,679",,,,,
9/2,2020,"617,448",,,,,
9/3,2020,"920,650",,,,,
9/4,2020,"1,011,740",,,,,
9/5,2020,"700,693",,,,,
9/6,2020,"730,258",,,,,
9/7,2020,"975,969",,,,,
9/8,2020,"742,411",,,,,
9/9,2020,"654,713",,,,,
9/10,2020,"795,943",,,,,
9/11,2020,"772,564",,,,,
9/12,2020,"650,936",,,,,
9/13,2020,"850,789",,,,,
9/14,2020,"770,933",,,,,
9/15,2020,"557,373",,,,,
9/16,2020,"614,309",,,,,
9/17,2020,"827,439",,,,,
9/18,2020,"853,578",,,,,
9/19,2020,"676,079",,,,,
9/20,2020,"888,597",,,,,
9/21,2020,"812,782",,,,,
9/22,2020,"586,414",,,,,
9/23,2020,"645,143",,,,,
9/24,2020,"868,664",,,,,
9/25,2020,"887,865",,,,,
9/26,2020,"695,777",,,,,
9/27,2020,"912,853",,,,,
9/28,2020,"839,120",,,,,
9/29,2020,"605,277",,,,,
9/30,2020,"673,484",,,,,
10/1,2020,"898,999",,,,,
10/2,2020,"899,602",,,,,
10/3,2020,"713,537",,,,,
10/4,2020,"940,229",,,,,
10/5,2020,"857,900",,,,,
10/6,2020,"624,953",,,,,
10/7,2020,"705,110",,,,,
10/8,2020,"979,780",,,,,
10/9,2020,"1,012,171",,,,,
10/10,2020,"807,471",,,,,
10/11,2020,"1,025,511",,,,,
10/12,2020,"1,000,148",,,,,
10/13,2020,"716,582",,,,,
10/14,2020,"755,121",,,,,
10/15,2020,"993,602",,,,,
10/16,2020,"1,015,559",,,,,
10/17,2020,"827,049",,,,,
10/18,2020,"1,073,202",,,,,
10/19,2020,"963,188",,,,,
10/20,2020,"699,330",,,,,
10/21,2020,"732,146",,,,,
10/22,2020,"978,486",,,,,
10/23,2020,"1,002,285",,,,,
10/24,2020,"795,028",,,,,
10/25,2020,"1,024,734",,,,,
10/26,2020,"940,208",,,,,
10/27,2020,"684,389",,,,,
10/28,2020,"705,190",,,,,
10/29,2020,"914,353",,,,,
10/30,2020,"934,827",,,,,
10/31,2020,"652,126",,,,,
11/1,2020,"978,012",,,,,
11/2,2020,"885,858",,,,,
11/3,2020,"610,286",,,,,
11/4,2020,"673,086",,,,,
11/5,2020,"906,892",,,,,
11/6,2020,"937,619",,,,,
11/7,2020,"728,410",,,,,
11/8,2020,"1,018,164",,,,,
11/9,2020,"880,911",,,,,
11/10,2020,"634,852",,,,,
11/11,2020,"713,636",,,,,
11/12,2020,"912,775",,,,,
11/13,2020,"926,908",,,,,
11/14,2020,"737,242",,,,,
11/15,2020,"1,024,079",,,,,
11/16,2020,"888,924",,,,,
11/17,2020,"613,745",,,,,
11/18,2020,"704,044",,,,,
11/19,2020,"909,515",,,,,
11/20,2020,"1,027,055",,,,,
11/21,2020,"987,446",,,,,
11/22,2020,"1,049,921",,,,,
11/23,2020,"919,387",,,,,
11/24,2020,"959,178",,,,,
11/25,2020,"1,074,824",,,,,
11/26,2020,"562,697",,,,,
11/27,2020,"821,789",,,,,
11/28,2020,"966,412",,,,,
11/29,2020,"1,179,933",,,,,
11/30,2020,"986,538",,,,,
12/1,2020,"783,563",,,,,
12/2,2020,"672,765",,,,,
12/3,2020,"779,941",,,,,
12/4,2020,"795,221",,,,,
12/5,2020,"669,579",,,,,
12/6,2020,"878,711",,,,,
12/7,2020,"745,818",,,,,
12/8,2020,"537,445",,,,,
12/9,2020,"601,319",,,,,
